,Review_title,Review_text,Ratings
63,Best in the market!,"No other laptops can't beat this, at this price segment ⚡⚡⚡✨✨✨✨
✨Display - Best
✨Build - best in this segment ( except ports )
✨Battery backup : 6 - 8 hours for normal usage in 80% brightness with WiFi
✨ Fan noise almost equal to zero as mentioned by company
✨ For students its specifications are more than enough
✨ Windows 11 runs very smoothly on i3 10th gen also

Let's see how is the infinix after sale service !",5
64,Perfect product!,"First of all the design is superb. Its compact and looks sturdy. The body gives the feeling of a premium laptop.
The display is excellent. 100% sRGB with 300nits brightness. Not even the top laptop brands are giving that in this price range.
Keyboard is OK with backlit. The backlit is not even through out but it's justifiable.
Speakers are really loud. You won't have any problem in watching movies. Listening to music is another joy.
Battery is superb. I used the laptop for more than 4hrs and ...
READ MORE",5
65,Best in the market!,"1.First Flipkart Love it ❤️ Very Fast Delivery 🚚

2.Design a no.1 top notch👌

3.Display viewing Angle its Good 👌

4.Battery Good 👍

5.Performance It's Good 👌

6.Price Very Good 👍

7.Overall Good Price and Nice Laptop ❤️

8. The Trackpad Performance. Is Very 😔 bad😡
Any Time 3to5 time's tuch do it's a bad one


This price point 👉 good 👍❤️",5
66,Classy product,"Just Brilliant ♥️, no match at 33k highly recommended....just keep in mind storage is fast but only 250gb from which you only get 200gb, you can add one Sd card & a M.2 ssd if you want...

Display size is bit small but definitely excellent
Else all good
1) great performance
2) great display
3) great battery life 6 hr on average
4) great backlit keyboard
5) great trackpad
6) great build full metal finish + the red color looks really punchy
Overall good for students, multimedia, little bit gamm...
READ MORE",5
67,Very Good,"The design and build quality seems premium. The size is smaller than average laptops as it is 14inch. Note that it is made in China, although the brand is of Hong Kong.

The keyboard is very easy to use and spacious. Track pad is good but the trackpad buttons sometimes need to be pressed 2-3 times to click.

Same goes for the power button, it never turns on in a single press. The power button light is also blue which for me is very difficult to notice. It should have been normal white light.
...
READ MORE",4
68,Super!,"Ohh my god what a laptop it's brilliant.
My wife is so happy with this laptop its very useful for heavy software like AutoCAD,SAP etc.
Don't think go for it...",5
69,Excellent,"The build quality display battery and speakers are awesome. The performance is as expected from an i3 although in benchmark score there isn't much difference from an older i5 small thing like WiFi speed app opening times and animations are all slow in this which you would notice if you are coming from a ryzen 5 or i5

But I love this laptop because the display and the touch and feel the privacy switch the big battery a clean windows is with no bloatware and decent enough performance.

You ca...
READ MORE",5
70,Good,"They not provide the support we have face some problem in our system. I have tried to contact for support in Infinix official website. But we are not able to reach to support team.

So my concern is this product is good and also very good design and worth for money. But after purchase definitely we need service provider or support contact.

If you have near by infinix service center you can purchase this product 👍.",3
71,Pretty good,"It's been five days since using this masterpiece
This laptop is for my office use only about the battery its lasts about 8 office hrs.'
The camera could be better
when I updated windows then there was an issue that' the touchpad was working automatically but I restarted then it got fixed automatically
I'm impressed with this you couldn't find any at this price


Specially thank Great Flipkart service I've got the laptop within just 3days unexpected
I've really amazing experience with se...
READ MORE",4
72,Excellent,"Dear sir, Very good and very fine for this laptop but I am expecting red colour but stock over at that time of order any way I am happy with this laptop colour and updated software.thank you sir",5
73,Best in the market!,"No other laptops can't beat this, at this price segment ⚡⚡⚡✨✨✨✨
✨Display - Best
✨Build - best in this segment ( except ports )
✨Battery backup : 6 - 8 hours for normal usage in 80% brightness with WiFi
✨ Fan noise almost equal to zero as mentioned by company
✨ For students its specifications are more than enough
✨ Windows 11 runs very smoothly on i3 10th gen also

Let's see how is the infinix after sale service !",5
74,Perfect product!,"First of all the design is superb. Its compact and looks sturdy. The body gives the feeling of a premium laptop.
The display is excellent. 100% sRGB with 300nits brightness. Not even the top laptop brands are giving that in this price range.
Keyboard is OK with backlit. The backlit is not even through out but it's justifiable.
Speakers are really loud. You won't have any problem in watching movies. Listening to music is another joy.
Battery is superb. I used the laptop for more than 4hrs and ...
READ MORE",5
75,Best in the market!,"1.First Flipkart Love it ❤️ Very Fast Delivery 🚚

2.Design a no.1 top notch👌

3.Display viewing Angle its Good 👌

4.Battery Good 👍

5.Performance It's Good 👌

6.Price Very Good 👍

7.Overall Good Price and Nice Laptop ❤️

8. The Trackpad Performance. Is Very 😔 bad😡
Any Time 3to5 time's tuch do it's a bad one


This price point 👉 good 👍❤️",5
76,Classy product,"Just Brilliant ♥️, no match at 33k highly recommended....just keep in mind storage is fast but only 250gb from which you only get 200gb, you can add one Sd card & a M.2 ssd if you want...

Display size is bit small but definitely excellent
Else all good
1) great performance
2) great display
3) great battery life 6 hr on average
4) great backlit keyboard
5) great trackpad
6) great build full metal finish + the red color looks really punchy
Overall good for students, multimedia, little bit gamm...
READ MORE",5
77,Very Good,"The design and build quality seems premium. The size is smaller than average laptops as it is 14inch. Note that it is made in China, although the brand is of Hong Kong.

The keyboard is very easy to use and spacious. Track pad is good but the trackpad buttons sometimes need to be pressed 2-3 times to click.

Same goes for the power button, it never turns on in a single press. The power button light is also blue which for me is very difficult to notice. It should have been normal white light.
...
READ MORE",4
78,Super!,"Ohh my god what a laptop it's brilliant.
My wife is so happy with this laptop its very useful for heavy software like AutoCAD,SAP etc.
Don't think go for it...",5
79,Excellent,"The build quality display battery and speakers are awesome. The performance is as expected from an i3 although in benchmark score there isn't much difference from an older i5 small thing like WiFi speed app opening times and animations are all slow in this which you would notice if you are coming from a ryzen 5 or i5

But I love this laptop because the display and the touch and feel the privacy switch the big battery a clean windows is with no bloatware and decent enough performance.

You ca...
READ MORE",5
80,Good,"They not provide the support we have face some problem in our system. I have tried to contact for support in Infinix official website. But we are not able to reach to support team.

So my concern is this product is good and also very good design and worth for money. But after purchase definitely we need service provider or support contact.

If you have near by infinix service center you can purchase this product 👍.",3
81,Pretty good,"It's been five days since using this masterpiece
This laptop is for my office use only about the battery its lasts about 8 office hrs.'
The camera could be better
when I updated windows then there was an issue that' the touchpad was working automatically but I restarted then it got fixed automatically
I'm impressed with this you couldn't find any at this price


Specially thank Great Flipkart service I've got the laptop within just 3days unexpected
I've really amazing experience with se...
READ MORE",4
82,Excellent,"Dear sir, Very good and very fine for this laptop but I am expecting red colour but stock over at that time of order any way I am happy with this laptop colour and updated software.thank you sir",5
83,brilliant for the price!,"Its a very good product. Better than most in this price.
Build : 4.5/5 (not macbook level, but great indeed)
screen : 4.5/5
speakers : 4/5 (loudness is great but not clarity)
performance : 4.5/5
storage speed : 4/5 (upto 6Gbps)
battery: 4/5 (around 8 hours)
keyboard: 4/5 (key treble could have been better)
trackpad : 5/5
charging speed : around 90 minutes",5
84,Nice product,"⭐️⭐️⭐️⭐️
Design- Good 😊
Built Quality- Good 😎
Display- Good, good viewing angles, good colours, 3 side thin bezels 😎
Camera- best in this segment 😎
Battery backup- Good, can expect 5-6 hrs multitasking🙂
Sound- Not bad/ Not too loud🙂
Touchpad- Could be better😔
Windows 11- Runs Smoothly😎
SSD- Boots up fast takes around 6 secs to desktop😎",4
85,Terrific purchase,"If you like to be sensible with your spendings, and want a sturdy laptop that serves the purpose of daily work life, this is the one.

Very good build quality and smooth performance, people who are complaining about the quality of charger, lemme tell the charger provided is of good quality and what u get in this budget is descent.

Overall good quality laptop from infinix.
Metal build is solid.",5
86,Terrific purchase,"I'm writing this review after two months of usage. laptop in this range is worth for every penny I've spent on this it's really a awesome laptop the design, performance, price everything is worth buying, I suggest you to buy this budget laptop",5
87,Highly recommended,"Value for money with great specifications,
Lots of ports,
Backlight keyboard,
Quad speaker with dts sound is excellent,
Battery backup is last for 8 to 9 hours
Super fast charging 70% in 1 hour
Display also good brightness
Laptop made of full stainless steel with less weight.

In this price range infinix done a great job and in this price no other brands given like this specifications and ports.

Special features in this laptop is manual camera on and off switch. It is used to avoid hackin...
READ MORE",5
88,Simply awesome,"GREAT PRODUCT. JUST LOVED IT .
KEY FEATURES
# GREAT BATTERY 🔋 PERFORMANCE
# BACKLIT KEYBOARD
# FAST CHARGING
# FAST BOOTING
# GREAT DISPLAY",5
89,Worth every penny,Best laptop,5
90,Value-for-money,"No doubt the laptop is little above average. It is very good value for money.

Let me share what are the cons of this device.

1. The biggest issue with the device is, power leaking.

As the charger adapter has only two pin and no third pin, which is for earthing. So whenever you charge this device there is little current passing through entire body of laptop since the laptop is fully metal (aluminium) and I just don't feel right charging the device like this. In long run this will obviousl...
READ MORE",4
91,Good quality product,"It's, good only for browsing, study and normal use..
3i .....",4
92,Terrific purchase,Nice Laptop 👍,5
93,Best in the market!,"Laptop is cool, it's performance is good and sound and display is also good.",5
94,Worth the money,What a look 😍and design,4
95,Brilliant,"Battery 10/10🔋
Sound 10/10 🔊
Bass 8/10
Performance 8/10
Display 9.2/10 🖥️
Charging time 1 hour
Keyboard 8/10
Camara 9.1/10
No heating normal task
Brightness & colour amazing
Body is 100% metalic
😍😍😍😍",5
96,Classy product,Just loved it ❤️,5
97,Perfect product!,I had think about this laptop for more than about 100 times but in this price range this laptop is more good than its price .it is totally worthy,5
98,Simply awesome,I'll give it 5 stars ⭐⭐⭐⭐⭐,5
99,Classy product,"Best laptop at this price level, Best thing in this laptop is it's display. Loved it ☺️",5
100,Terrific purchase,Got it at 36k & totally value for money but can't say about after sale service.,5
101,Terrific purchase,"Tq Flipkart this laptop so amazing at this price range
Battery capacity is to good and camera is 3/5 not bad but good at this segment",5
102,Wonderful,"There is absolutely no doubt that, it is a very good Laptop at this price range.
Just Go for It.

😍😍😍😍😍😍😍",5
103,Mind-blowing purchase,Very happy,5
104,Terrific purchase,"Best performance, battery 🔋🔋🔋 awesome",5
105,Good,"Received yesterday and charging stopped within 1 hour.
Checked all the settings. Charger was too Hot and had some burned smell. It seems the accessories are used of low quality",3
106,Terrific purchase,Awesome and classy performance of this laptop many persons advised me not to buy this company's laptop as it is new in Market but nowww all have become fan of it .... Just go for it..,5
107,Classy product,Nice,5
108,Decent product,"Value for money...
Best in the market in this price range
But adaptor is defective... Leaking shock during charging",3
109,Excellent,"performance 5 out of 5
battery 🔋 5 out of 5
display 5 out of 5
value for money 5 out of 5",5
110,Good quality product,This product is most likely .this is very good at long time battery backup,4
111,Wonderful,Good,4
112,Simply awesome,This is a very good laptop. Anyone who wants to buy a laptop in those price segment for those this is a very good choice. I purchesed this laptop in 35999. My user experience on this laptop is very good.👍👍👍,5
113,Absolute rubbish!,After 5 to 10 days charger is not working......And most ridiculous not support any C type charger with this Laptop.....Very Sad,1
114,Value-for-money,"I am currently on 4th day using this laptop.
I will update after a month of using this laptop.",4
115,Fabulous!,It's amazing.....,5
116,Mind-blowing purchase,Value for many product 👌👌,5
117,Wonderful,Very good product. Design and performance are so good. Battery backup is also good.👍👍,5
118,Highly recommended,Good laptop at its price segment,5
119,Brilliant,"excellent
good battery
good display
keyboard working smoothly
no heating problem
fast charging
response time fast
Over all Good Choices",5
120,Hated it!,Found the charging problem in a 1st week,1
121,Expected a better product,Some keyboard buttons are not working and no customer care support from the first day.,2
122,Not recommended at all,"worst product dont buy there are many fault
as well as hangs too much
auto screen off😭😭😭😭😭😭
after 3 month charger damaged not working
dont buy",1
123,Utterly Disappointed,Battery not charging aftr 5 days,1
124,Decent product,"Earthing senses near the mousepad area while charging. Apart from that, performance is good 👍",3
125,Terrific purchase,Nice,5
126,Mind-blowing purchase,Good inbook x1,5
127,Good laptop,"Smart and optimized design.
Excellent aesthetic and appearance.
Processing speed is very good.
Battery life is not as much as mentioned but it is around 7hrs backup.",5
128,Value-for-money,I would suggest everyone to buy. value for money........,4
129,Terrific purchase,one of the best laptop in price range,5
130,Does the job,"i Got this laptop Inbook i3 p;rocessor.
pros: good metallic finish and fast processor
but cons are : 1)this laptop has heating issue while charging, it heats up quickly and adapter too.
2) the track pad is not very responsive sometimes even after 2 or 3 clicks.

apart from these cons the feathers are very goood.
#infinix please improve these drawbacks",3
131,Just okay,"Compromised on the charger which is a very disappointing thing considering that metel body, the laptop gives enough shock to not use it. Very difficult to use sometimes.",3
132,Great product,"Really Amazing Laptop in this segment
Just Go and Buy it ....",5
133,Wonderful,"It's one month review...no heating issue,perfect connectivity,perfect sound,perfect display,perfect built,superb battery,nice charging ....over all perfect perfect",4
134,Awesome,I had a fear in this company because I bought infinix product frst time . But it's a awesome l love it. Nice bild quality and everything exlent ....,5
135,Good choice,"The product is awesome , 4 stars because of late delivery .

display--4.5 stars
sound quality -- 4 stars
battery backup -- 4.5 stars(not in hard use)
design and build -- 4 stars
camera quality --3.5stars
backlit keyboard -- 4 stars(it has two stage of brightnes)

the ratings are out of 5 stars

the only problem i got for power buttun i have to press it for 2 to 3 times , over all good laptop in this segment .

thanks for reading.",4
136,Wonderful,"Best laptop 💻 in this price
Best performance
Best design
Best battery backup",5
137,Terrific,"if you are a person needs product quantity, good battery backup, premium look, portability, display and Audio quality ... what's more? .. believe me its worth.

'except hard gaming' its not a gaming laptop. be realistic see what really matters.",5
138,Delightful,Very good products,4
139,Worth every penny,"Iam satisfied 😊 and wonderful laptop , don't think go for it",5
140,Not recommended at all,PATHETIC PRODUCT PATHETIC SERVICE. If you love your money and want to live in pease if you want to be happy in future then don't by this laptop at all,1
141,Waste of money!,some problems,1
142,Did not meet expectations,wrost product my money waste & seller is not good,1
143,Highly recommended,"I love it ❤well booting time and performance also very well,🎊👌 display is quality is very good n overally very best laptop in this price👍🤘",5
144,Wonderful,Super,5
145,Useless product,It is getting probkems after a month,1
146,Useless product,After 10day use there is noise on one side of the speaker bad,1
147,Worthless,i got laptop today ... and its not charging ... charging stoped ... manufacturing defect,1
148,Utterly Disappointed,Screen blinking issue,1
149,Unsatisfactory,My infinix laptop not working,1
150,Worth every penny,Best laptop in this price range.,5
151,Did not meet expectations,I bought a laptop it's not working power on button also damaged,1
152,Pretty good,This is good laptop. Value for money. But it should be made in indian,4
153,Simply awesome,Product is good but delivery is too late,5
154,Pretty good,Overall my first impression is good,4
155,Good quality product,Good product amazing performance......I like it,4
156,Must buy!,Beast in the series.,5
157,Good quality product,"Value for money. Amazing at this price rate.
best battery backup. even better than MacBook pro battery backup.
the trackpad is sub-quality compared to the MacBook pro. It does not have a glass trackpad and hence has to use a mouse.",4
158,Really Nice,Its good,4
159,Excellent,Over all best in this price segment.,5
160,Good choice,Awesome products ..,4
161,Good,Sometime it doesn't respond when I connect my phone with my laptop to transfer any file processor is not good,3
162,Just okay,Performance is good but price not good.,3
163,Value-for-money,Nice,4
164,Great product,It's really mesmerizing... I just loved it 😍😍😌😌it fulfills all the qualities that it claims.... Light weight of it makes carrying very easy😎,5
165,Just okay,Really very nice laptop....I'm so happy 😇,3
166,Awesome,"Using more than one month smooth functioning battery backup is almost 6 hours
Best part is design screen quality and quad speakers
Light laptop with almost every port camera quality is good",5
167,Slightly disappointed,Those claims of battery backup upto 13 hours is completely fake as it merely stands for 5 hours for normal videoplayback,2
168,Perfect product!,after 2 days of usage total Paisa wasool product.,5
169,Brilliant,If you want a laptop for general purpose and can't decide which one to buy then buy this you won't regret,5
170,Terrific,"Super budget core i3 laptop.

Display....5/5
Built Quality....5/5
Battery.....4.5/5
Heating issue...5/5
Performance...4.1/5
Weight....4.5/5

Thanks infinix. 🙏",5
171,Nice,While charging thin current is passing on the body of laptop,3
172,Worth every penny,"It’s just awesome.. design, built, look and speed.. all are very good 👌 worth every penny..u can go for it without any hesitation. Thanks flipkart",5
173,brilliant for the price!,"Its a very good product. Better than most in this price.
Build : 4.5/5 (not macbook level, but great indeed)
screen : 4.5/5
speakers : 4/5 (loudness is great but not clarity)
performance : 4.5/5
storage speed : 4/5 (upto 6Gbps)
battery: 4/5 (around 8 hours)
keyboard: 4/5 (key treble could have been better)
trackpad : 5/5
charging speed : around 90 minutes",5
174,Nice product,"⭐️⭐️⭐️⭐️
Design- Good 😊
Built Quality- Good 😎
Display- Good, good viewing angles, good colours, 3 side thin bezels 😎
Camera- best in this segment 😎
Battery backup- Good, can expect 5-6 hrs multitasking🙂
Sound- Not bad/ Not too loud🙂
Touchpad- Could be better😔
Windows 11- Runs Smoothly😎
SSD- Boots up fast takes around 6 secs to desktop😎",4
175,Terrific purchase,"If you like to be sensible with your spendings, and want a sturdy laptop that serves the purpose of daily work life, this is the one.

Very good build quality and smooth performance, people who are complaining about the quality of charger, lemme tell the charger provided is of good quality and what u get in this budget is descent.

Overall good quality laptop from infinix.
Metal build is solid.",5
176,Terrific purchase,"I'm writing this review after two months of usage. laptop in this range is worth for every penny I've spent on this it's really a awesome laptop the design, performance, price everything is worth buying, I suggest you to buy this budget laptop",5
177,Highly recommended,"Value for money with great specifications,
Lots of ports,
Backlight keyboard,
Quad speaker with dts sound is excellent,
Battery backup is last for 8 to 9 hours
Super fast charging 70% in 1 hour
Display also good brightness
Laptop made of full stainless steel with less weight.

In this price range infinix done a great job and in this price no other brands given like this specifications and ports.

Special features in this laptop is manual camera on and off switch. It is used to avoid hackin...
READ MORE",5
178,Simply awesome,"GREAT PRODUCT. JUST LOVED IT .
KEY FEATURES
# GREAT BATTERY 🔋 PERFORMANCE
# BACKLIT KEYBOARD
# FAST CHARGING
# FAST BOOTING
# GREAT DISPLAY",5
179,Worth every penny,Best laptop,5
180,Value-for-money,"No doubt the laptop is little above average. It is very good value for money.

Let me share what are the cons of this device.

1. The biggest issue with the device is, power leaking.

As the charger adapter has only two pin and no third pin, which is for earthing. So whenever you charge this device there is little current passing through entire body of laptop since the laptop is fully metal (aluminium) and I just don't feel right charging the device like this. In long run this will obviousl...
READ MORE",4
181,Good quality product,"It's, good only for browsing, study and normal use..
3i .....",4
182,Terrific purchase,Nice Laptop 👍,5
183,Terrific,I love it 💗💗 not because of prize but it's really fast working..and good product...must try it once.,5
184,Worth every penny,"First of all thanks to Flipkart for a faster delivery, it was under 2days. You guys are awesome.
The laptop is so much slik looking and classy. It is so much premium looking. The display is great and the performance is even faster. I am a student, doing my bachelor's, so for student work it is more faster than required. I just loved the laptop. But for gaming I don't know, because I can't play games that much. Boot time is less than 6 second.",5
185,Value-for-money,"Good Laptop under 40k got it at 39k. Good for students,professionals not built for heavy task but normal excel power point run smoothly. Sound quality is average but audible. Overall good laptop.",4
186,Great product,Awesome specifications and reasonable price.. Slim and well designed.. Built quality is awesome,5
187,Best in the market!,"One of the best student laptop money can buy, been using it for over a month now. It's fast and responsive and does not have heat issues.",5
188,Highly recommended,"Delivery was done after 8 days after purchasing quite long time taken.but overall product is great,compitable,slim & handy.. performance is outstanding in this range.everything works fine",5
189,Just wow!,"Nice product in this price range ..
Go for it",5
190,Awesome,Nice product in this price point I recommend you....you can go for it,5
191,Excellent,"Performance of this laptop is very nice
Display quality is awesome",5
192,Classy product,Very nice laptop.,5
193,Terrific,I love it 💗💗 not because of prize but it's really fast working..and good product...must try it once.,5
194,Worth every penny,"First of all thanks to Flipkart for a faster delivery, it was under 2days. You guys are awesome.
The laptop is so much slik looking and classy. It is so much premium looking. The display is great and the performance is even faster. I am a student, doing my bachelor's, so for student work it is more faster than required. I just loved the laptop. But for gaming I don't know, because I can't play games that much. Boot time is less than 6 second.",5
195,Value-for-money,"Good Laptop under 40k got it at 39k. Good for students,professionals not built for heavy task but normal excel power point run smoothly. Sound quality is average but audible. Overall good laptop.",4
196,Great product,Awesome specifications and reasonable price.. Slim and well designed.. Built quality is awesome,5
197,Best in the market!,"One of the best student laptop money can buy, been using it for over a month now. It's fast and responsive and does not have heat issues.",5
198,Highly recommended,"Delivery was done after 8 days after purchasing quite long time taken.but overall product is great,compitable,slim & handy.. performance is outstanding in this range.everything works fine",5
199,Awesome,Nice product in this price point I recommend you....you can go for it,5
200,Just wow!,"Nice product in this price range ..
Go for it",5
201,Excellent,"Performance of this laptop is very nice
Display quality is awesome",5
202,Classy product,Very nice laptop.,5
203,Super!,"This is a very good laptop, its battery and display are also good, fast charging is also there, value for money",5
204,Not good,Battery drains very fast,2
205,Very Good,Superr,4
206,Perfect product!,AWESOME ❤️,5
207,Fabulous!,Just go for it .. best in this budget segment 😍💵,5
208,Don't waste your money,Battery backup is worst,1
209,Excellent,Every thing is just fine but the tn display is so annoying as always,5
210,Just wow!,Lenovo idea pad 3 core is 11th Gen 8gb/512 ram fulfilled my requirement as per stated specification and configurations,5
211,Value-for-money,Suitable for students,4
212,Pretty good,Nice value for money.,4
213,Mind-blowing purchase,Writing this after two weeks of usage. It really works good.,5
214,Must buy!,Such a guys this is so fantastic product,5
215,Wonderful,Amazing quality and affordable,5
216,Must buy!,Good,5
217,Best in the market!,Super,5
218,Fabulous!,"Awesome product ..but little issue with microphone ..if we connect the earphones to the Lap ,it's getting muted n for the each time we need to go to settings n change it.. except that everything is OK..
There is no heating issue , we can use it for longer time ..
When we just open the laptop it's automatically gets switched on ..",5
219,Wonderful,Good product,4
220,Just wow!,Osm product,5
221,Nice product,Excellent product but delivery very slow,4
222,Did not meet expectations,Bad,1
223,Worth the money,Awesome,4
224,Classy product,Excellent product.,5
225,Great product,Nice product value for money.,5
226,Best in the market!,Nice Product,5
227,Good,Battery backup is hardly 5hrs on the normal usage:(,3
228,Expected a better product,Bettery Backup is not as per the description. speaker sound is very very low. very disappointed with this.,2
229,Must buy!,Nice,5
230,Super!,Good enough...,5
231,Fair,Useless,3
232,Simply awesome,Good,5
233,Super!,"This is a very good laptop, its battery and display are also good, fast charging is also there, value for money",5
234,Not good,Battery drains very fast,2
235,Very Good,Superr,4
236,Perfect product!,AWESOME ❤️,5
237,Fabulous!,Just go for it .. best in this budget segment 😍💵,5
238,Don't waste your money,Battery backup is worst,1
239,Excellent,Every thing is just fine but the tn display is so annoying as always,5
240,Just wow!,Lenovo idea pad 3 core is 11th Gen 8gb/512 ram fulfilled my requirement as per stated specification and configurations,5
241,Value-for-money,Suitable for students,4
242,Pretty good,Nice value for money.,4
243,Perfect product!,"One of the best Laptop in the market for home usage. Mind-blowing display, Crystal clear sound quality, Smooth touch experience,Run 4k video , Built with Windows 11 and MS Office along with many other useful softwares. If you are looking for a budget laptop then just go for it. I bet you will definitely like this.",5
244,Simply awesome,Best budget laptop if u are student then this laptop is best for you. it starts and shutdown very quickly the body is very slim 8 gb ram and 256gb ssd makes it fast but still it depends on your use overall it's nice laptop,5
245,Mind-blowing purchase,"Lapt lennovo is very good excellent product heavy body smooth running fast working with ,8gb ram 256 GB SSD looking good display good battery back up I try this product in this rate no products available in this rate so pls purchase don't take any tenson . Cheap rate good performance excellent working smart looking laptop",5
246,Just wow!,"Excellent & far far better than HP laptops. Very fast at lowest price.
Battery backup: 5-6 hrs for 100% charge
No heating problem.
Delightful design & HD resolution.
Everything beyond expectations except webcam ( webcam could have been improved, but not required in smart phones era ).",5
247,Classy product,Lenovo ideapad 3 core i3 laptop is nice also performance and copy paste speed also high due to ssd. Love and recommend to all friends. Thanks,5
248,Excellent,"Worth buying it. Everything is perfect at price point except for camera but still better than others at this price range.
Battery backup is upto 7hr+",5
249,Very Good,"I had purchased this product 3 weeks ago, first of all, thanks to Flipkart for good packaging and product delivery. It's good for IT professionals at least for higher-end software. I have i5 processor as well but I don't see any differences, performance wise both are very nice. I love Lenovo products. Thank you Flipkart.",4
250,Worth the money,Vry nice in this price but i face one prblm when i updated all drivers then mouse can't work so give me suggestions but overall i have good experience about Lenovo ideapad 3 core window 11 was good i love this laptop,4
251,Value-for-money,Design and performance wise this laptop is top notch... You can do light gaming also... No issue in day to day usage... Screen quality is poor.. If you're seeing with different angles and not straight'ly then screen is barely visible to you... And battery is not good... But performace wise top notch... 👌👌I Will suggest that you should go for HP laptop is this range....,4
